Name;Redepräferenz;Erfahrung
Noah Hoffmann;Team;0
Lukas Wolf;Team;0
Tim Wagner;Frei;2
Mia Schröder;Team;3
Öüaärk Schröder;Frei;10
Elias Wolf;Team;7
Marie Hoffmann;Team;4
Paul Koch;Frei;7
Marie Koch;Team;6
Laura Wolf;Frei;0
Elias Schröder;Team;10
Emma Schneider;Team;8
Lena Weber;Frei;9
Öüaärk Schneider;Frei;8
Marie Schröder;Frei;1
Anna Wolf;Frei;4
Clara Wolf;Frei;10
Marie Wolf;Frei;7
Jonas Klein;Team;1
Lena Schäfer;Team;4
Emma Wagner;Frei;0
Leon Hoffmann;Frei;7
Tim Klein;Frei;5
Mia Schäfer;Frei;10
Jonas Schröder;Team;1
Paul Wolf;Frei;9
Anna Schäfer;Frei;0
Clara Äöüzé;Team;9
Jonas Schröder;Team;6
Öüaärk Weber;Frei;3
Paul Schneider;Frei;7
Anna Richter;Frei;3
Marie Schmidt;Team;5
Öüaärk Schröder;Frei;2
Öüaärk Schneider;Frei;10
Anna Fischer;Team;4
Sophie Wolf;Frei;3
Anna Äöüzé;Team;3
Mia Weber;Frei;2
Noah Becker;Frei;0
